source_name,filename,file_owner,ra_deg,dec_deg,l_deg,b_deg,time_utc,time_mjd,size_gb,fres_khz,tsamp,tobs_min,npol
Crab_2021-06-16_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2021-06-16_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-14,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-14.fil,patrickk,83.63333333333334,22.014472222222224,184.5576061682724,-5.784175806677177,2022-06-14T11:29:59.999,59744.47916665271,158.45,-24.41406,0.00065536,118.99896490666667,1
Crab_2021-06-16,/mnt/ucc4_data1/data/patrickk/Crab_2021-06-16.fil,patrickk,83.63333333333334,22.014472222222224,184.5576061682724,-5.784175806677177,2021-06-16T11:00:00.001,59381.45833334157,118.5,-24.41406,0.00065536,88.99892701866666,1
Crab_2022-04-12_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-04-12_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-14_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-14_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-17_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-17_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-03-09_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-03-09_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
J0103_492,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_492.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.372,59240.73663624677,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_445,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_445.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.325,59240.73663570279,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_6,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_6.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.886,59240.736630621774,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_428,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_428.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.308,59240.73663550604,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_90,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_90.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.970,59240.736631594,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_373,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_373.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.253,59240.73663486946,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_271,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_271.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.151,59240.7366336889,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_363,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_363.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.243,59240.73663475372,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_18,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_18.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.898,59240.736630760664,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_213,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_213.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.093,59240.73663301761,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_352,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_352.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.232,59240.7366346264,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_196,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_196.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.076,59240.73663282085,0.09,-24.414,0.00065536,0.2747706026666667,1
